nombre_imagen,"Coordenadas (left, upper, right, lower)",nombre_pez,Ecosistema,valor,tipo_de_pez,descripcion
fragmento_8_1.png,"(16, 128, 32, 144)",Koi,Pez de Estanque,97,Legendario,Ágil y resbaloso
fragmento_8_2.png,"(32, 128, 48, 144)",Carpa Herbívora,Pez de Estanque,78,Exótico,Hermoso y popular
fragmento_8_3.png,"(48, 128, 64, 144)",Cabeza Gorda,Pez de Estanque,37,Raro,De gran tamaño
fragmento_8_4.png,"(64, 128, 80, 144)",Pez Sol Verde,Pez de Estanque,66,Exótico,Rápido y activo
fragmento_8_5.png,"(80, 128, 96, 144)",Plecostomus,Pez de Estanque,85,Legendario,Rápido y activo
fragmento_8_6.png,"(96, 128, 112, 144)",Sardinita Roja,Pez de Estanque,56,Legendario,Ágil y resbaloso
fragmento_8_7.png,"(112, 128, 128, 144)",Pez Semilla de Calabaza,Pez de Estanque,31,Común,Colorido y sociable
fragmento_8_8.png,"(128, 128, 144, 144)",Gobio,Pez de Estanque,99,Exótico,Colorido y sociable
fragmento_8_9.png,"(144, 128, 160, 144)",Shubunkin,Pez de Estanque,82,Común,Rápido y activo
fragmento_9_0.png,"(0, 144, 16, 160)",Pez Dorado de Fantasía,Pez de Estanque,87,Común,Colorido y sociable
fragmento_9_1.png,"(16, 144, 32, 160)",Tiburón de Banda Alta,Pez de Estanque,19,Común,Ágil y resbaloso
fragmento_9_2.png,"(32, 144, 48, 160)",Pez Paraíso,Pez de Estanque,65,Exótico,Hermoso y popular
fragmento_9_3.png,"(48, 144, 64, 160)",Alosa Menor,Pez de Estanque,17,Raro,Colorido y sociable
fragmento_9_4.png,"(64, 144, 80, 160)",Roseta,Pez de Estanque,81,Común,Ágil y resbaloso
fragmento_9_5.png,"(80, 144, 96, 160)",Tenca Dorada,Criaturas de Estanque,30,Común,De gran tamaño
fragmento_9_6.png,"(96, 144, 112, 160)",Molly,Criaturas de Estanque,32,Legendario,Ágil y resbaloso
fragmento_9_7.png,"(112, 144, 128, 160)",Rana,Criaturas de Estanque,61,Exótico,Rápido y activo
fragmento_9_8.png,"(128, 144, 144, 160)",Renacuajo,Criaturas de Estanque,66,Raro,Rápido y activo
fragmento_9_9.png,"(144, 144, 160, 160)",Axolote,Criaturas de Estanque,10,Raro,De gran tamaño
